word,frequency
ও,2280
করা,1156
হয়,1012
বলেন,991
থেকে,989
করে,975
এ,969
হয়েছে,967
তিনি,776
না,746
এবং,702
হবে,682
একটি,602
এই,591
করেন,553
সঙ্গে,522
জন্য,520
তাঁর,452
নিয়ে,452
হাজার,449
এর,441
করতে,434
এক,380
মধ্যে,378
দেওয়া,375
কোনো,363
পর,354
সময়,332
বিভিন্ন,322
বলে,322
প্রথম,311
টাকা,308
আরও,308
বা,301
কথা,296
তবে,294
নতুন,292
তথ্য,280
ছিল,278
আজ,278
করার,273
হিসেবে,271
বেশি,263
সালের,262
হচ্ছে,258
মো,257
যায়,256
ঢাকা,255
রয়েছে,248
দেন,248
তাঁদের,241
বাংলাদেশ,240
গত,238
তৈরি,234
হয়ে,232
ওই,228
সরকারের,227
দেশের,223
সরকার,222
বলা,221
প্রায়,219
তা,218
এসব,216
বাংলাদেশের,215
দিয়ে,213
জানান,212
পর্যন্ত,211
দুই,211
ছিলেন,208
পারে,199
বছর,198
বিষয়ে,198
কাজ,197
রহমান,196
নয়,194
মাধ্যমে,193
শুরু,192
শতাংশ,191
আছে,190
আগস্ট,186
একই,186
জুলাই,186
জাতীয়,185
তাঁকে,184
দায়িত্ব,182
দেখা,182
ইসলাম,179
বড়,178
দেশে,177
প্রধান,177
করেছেন,174
আর,173
জন,172
কোটি,170
গেছে,168
নেওয়া,168
পুলিশ,166
হলে,166
পরে,164
ওপর,163
করেছে,162
এমন,161
উল্লেখ,161
সরকারি,159
অধ্যাপক,159
বিরুদ্ধে,158
সব,157
সেই,157
আগে,157
সালে,156
পাশাপাশি,155
ক্ষেত্রে,155
সুযোগ,153
সরবরাহ,153
আলোকে,151
বছরের,150
ব্যবহার,150
কিন্তু,148
অনুযায়ী,147
কাছে,146
আমরা,146
পাওয়া,145
ধরনের,145
তাঁরা,145
যে,145
হাসপাতালে,145
এখন,144
বিভাগের,143
তিন,143
ধরে,142
লাখ,142
হতে,141
নিশ্চিত,139
সাবেক,138
অভিযোগ,137
কিছু,136
কর্মকর্তা,135
মতো,133
গ্যাস,132
উৎপাদন,132
দেওয়ার,130
বিশ্ববিদ্যালয়ের,129
দিন,129
শুধু,128
প্রধানমন্ত্রী,128
নেই,127
দিতে,127
এতে,126
কারণে,125
মামলায়,124
এটি,122
হওয়ার,121
বিশেষ,120
দিকে,120
এলাকায়,118
অংশ,118
হয়েছিল,117
তুলে,116
দাবি,116
থাকা,116
একজন,115
ছাড়া,115
বিদ্যুৎ,115
দুটি,115
বন্ধ,115
অতিরিক্ত,114
যুক্ত,114
আইন,113
সচিব,112
ব্যবস্থা,112
মূল,111
তাদের,111
এরপর,110
আমাদের,109
ফলে,106
কর্মী,106
বেতন,106
সময়ে,105
জ্বালানি,105
ঢাকার,104
শেখ,103
তখন,103
শেষ,102
সে,102
সেখানে,102
রাষ্ট্রপতি,102
স্থানীয়,102
আন্তর্জাতিক,101
অনেক,100
মন্ত্রণালয়ের,100
প্রয়োজন,100
তার,100
বিষয়টি,99
গুরুত্বপূর্ণ,98
রাখা,97
সড়ক,97
অন্য,97
স্বাস্থ্য,97
মানুষের,96
রাজধানীর,96
সংশ্লিষ্ট,96
সদস্য,96
গিয়ে,96
মনে,94
ছবি,94
এলএনজি,94
গতকাল,94
আওয়ামী,93
এম,93
সংবাদ,93
করছে,93
মোট,93
কেউ,93
হয়নি,93
মামলার,92
আবার,91
মোহাম্মদ,90
গাড়ি,90
বর্তমান,89
হলো,89
আদালত,89
ঘটনা,89
সাধারণ,89
প্রতিমন্ত্রী,89
নিতে,88
আইনজীবী,88
খান,87
মামলা,87
সামাজিক,87
সেপ্টেম্বর,87
নেওয়ার,86
আলী,86
প্রকাশ,86
ব্যয়,86
পরিকল্পনা,85
হোসেন,84
সংসদ,84
তদন্ত,84
কার্যক্রম,83
গ্যাসের,83
জানতে,83
দক্ষিণ,83
নাম,82
কি,82
আমার,82
অনুষ্ঠানে,81
সিদ্ধান্ত,81
প্রতি,81
হত্যা,81
তারা,79
কারণ,79
আলোচনা,79
সামনে,78
যাবে,78
কম,78
শিক্ষার্থীদের,77
থাকে,77
জানিয়েছেন,77
ঘটনায়,77
উদ্যোগ,76
তাই,76
সিটি,76
হন,76
জানানো,75
করছেন,75
দশমিক,75
নামে,74
প্রধানমন্ত্রীর,74
ঘোষণা,74
উপস্থিত,73
কার্যকর,73
চুক্তি,73
নিয়মিত,73
চেষ্টা,72
গড়ে,72
বক্তব্য,72
নম্বর,71
পাঁচ,70
পরিবারের,70
সম্ভব,70
মঙ্গলবার,70
দাম,70
যাচ্ছে,69
আহমেদ,69
মাসে,69
বলছে,69
চৌধুরী,68
দিয়েছেন,68
বিশ্ববিদ্যালয়,68
আমি,68
জানিয়েছে,68
মাস,68
শেষে,68
পরিচালক,68
বাংলাদেশে,68
অর্থ,67
আদেশ,67
সারা,67
হক,67
জেনারেল,67
প্রকল্পের,67
নারী,67
বৃহস্পতিবার,66
চেয়ে,66
আবেদন,66
কী,66
পুলিশের,66
করবে,66
রাজনৈতিক,66
আসামি,66
হাসান,65
বলেছেন,65
প্রস্তাব,65
গ্রেপ্তার,65
হয়েছেন,65
আগামী,64
সংকট,64
লীগ,64
যান,64
টাকার,64
সবচেয়ে,64
আইনের,64
অব,63
মা,63
উদ্দিন,63
তিনটি,63
তারেক,63
গণ,63
শিশু,62
পরিস্থিতি,62
প্রশ্নের,62
অ্যান্ড,62
মানুষ,62
সম্পাদক,62
সেবা,62
ছড়িয়ে,62
ব্যক্তি,61
উদ্ধার,61
থাকবে,61
প্রতিবেদন,61
প্রশ্ন,61
হতো,61
বলছেন,61
নিজের,60
যাওয়ার,60
হওয়া,60
সর্বোচ্চ,60
পড়ে,60
বিষয়,60
পালন,60
সোমবার,60
রায়,60
বাইরে,59
গুরুত্ব,59
দিনের,59
দেয়,59
প্রকল্প,59
মেডিকেল,59
বছরে,58
প্রতিষ্ঠান,58
জানা,58
জরুরি,58
উপদেষ্টা,58
ঘটনার,58
আছেন,58
এখনো,58
নিরাপত্তা,57
ভালো,57
বিচার,57
ছাত্র,57
কাছ,57
অন্যান্য,57
বিভাগ,56
প্রয়োজনীয়,56
নির্দেশ,56
যা,56
দ্রুত,56
সরাসরি,56
বিচারপতি,56
রহমানের,56
অপরাধ,56
আওতায়,56
ধরা,55
ভূমিকা,55
থানার,55
আহ্বান,55
সকালে,55
আদালতে,55
মন্ত্রণালয়,55
রাষ্ট্রপতির,55
যেতে,55
জামিন,55
ভর্তি,55
নিহত,55
ভাতা,55
পরিবর্তন,54
কলেজ,54
চলতি,54
মন্ত্রী,54
সমস্যা,54
যদি,54
সেটি,54
থেকেই,54
সংস্থার,54
অবস্থায়,54
পান,53
রোববার,53
চলছে,53
যাওয়া,53
আসে,53
বেড়েছে,53
শিক্ষা,53
বেসরকারি,53
সভাপতি,53
হলেও,53
শুনানি,53
পাঠানো,53
হাতে,52
শিক্ষক,52
বর্তমানে,52
ডেঙ্গু,52
চালু,52
পারেন,52
আপিল,52
সাড়ে,52
এটা,52
ধাপে,52
চেয়ারম্যান,51
আগের,51
সভায়,51
দিয়েছে,51
এবার,51
কীভাবে,51
মশা,51
আবদুল,51
নিয়োগ,51
গবেষণা,51
কবির,51
পাঠানোর,51
পদে,51
চাপ,51
মির্জা,51
আলম,50
জবাবে,50
উন্নয়ন,50
সংখ্যা,50
পানি,50
নেন,50
চার,50
ছোট,50
পরিবেশ,50
খরচ,50
অভিযোগে,50
এজেন্সির,50
আয়োজন,49
নানা,49
থাকায়,49
বলেও,49
একাধিক,49
বুধবার,49
নির্বাহী,49
আনা,49
খাতে,48
ব্যবহারের,48
পর্যায়ে,48
জেলা,48
পুরো,47
শিক্ষার্থী,47
নির্ধারিত,47
সময়ের,47
কয়েকটি,47
উত্তর,47
অনুষ্ঠিত,47
ভিডিও,47
সক্ষমতা,47
দিনে,46
প্রজ্ঞাপনে,46
নামের,46
প্রতিষ্ঠানের,46
একটা,46
গ্রহণ,46
কমিটি,46
শনাক্ত,46
প্রকাশিত,46
থানায়,46
ডিজিটাল,46
নেপালের,46
সূত্র,46
নজরুল,46
বাড়ানোর,46
লক্ষ্য,45
সম্মেলনে,45
সম্পর্কে,45
থাকতে,45
জনগণের,45
যায়নি,45
পক্ষ,45
পণ্য,45
কর,44
চান,44
আমদানি,44
মেগাওয়াট,44
তৈরির,44
যোগ,44
পক্ষে,44
অবস্থান,44
আক্রান্ত,44
রাত,44
ডাকসু,44
ইলিশ,44
ভিডিওটি,44
ঘনফুট,44
সম্পদ,43
সংস্থা,43
কমে,43
করপোরেশনের,43
ভারতের,43
সুবিধা,43
বিজ্ঞপ্তিতে,43
কোথাও,43
প্রভাব,43
চিফ,43
আল,43
পারবেন,43
অনুমোদন,43
আন্দোলন,43
আয়োজিত,42
কে,42
নির্দেশনা,42
করি,42
দেশ,42
মন্তব্য,42
ভিত্তিতে,42
এসেছে,42
হাসপাতালের,42
অধিকার,42
নির্বাচন,42
পরবর্তী,42
পাওয়ার,42
এসে,42
মাত্র,42
অর্থাৎ,42
কিলোমিটার,42
দীর্ঘ,41
পেয়েছেন,41
যাতে,41
থাকার,41
অভিযান,41
জানিয়ে,41
দরকার,41
নেতা,41
নাগরিক,41
বিএনপির,41
পররাষ্ট্র,41
গুম,41
ছয়,41
সালমান,41
সাত,41
মৃত্যু,41
যুক্তরাষ্ট্রের,40
বাংলাদেশি,40
বাবা,40
দুর্নীতি,40
কমিশনের,40
প্রসিকিউটর,40
গেছেন,40
কাজে,40
চাহিদা,40
রেখে,40
তাহলে,40
মশার,40
কেন,40
করেছিলেন,40
প্রতিবেদনে,40
আলো,40
এলাকার,40
হাইকোর্ট,40
কমিটির,40
অধিদপ্তরের,40
শুক্রবার,40
বেলা,40
ব্যক্তিদের,40
মতে,40
ফখরুল,40
বিবেচনায়,40
কয়েক,40
পরীক্ষা,40
রাতে,39
দেখে,39
পরিচয়,39
রাখতে,39
কর্মকর্তারা,39
প্রশাসন,39
লেখা,39
সহায়তা,39
ডাকসুর,39
বিক্রি,39
সুরক্ষা,39
নিজ,38
আইনশৃঙ্খলা,38
করলে,38
কর্মকর্তাদের,38
পরামর্শ,38
হওয়ায়,38
নিয়ন্ত্রণ,38
ঝুঁকি,38
থাকলে,38
রাখার,38
কেন্দ্রীয়,38
চুক্তির,38
চাইলে,38
বিভাগে,38
ছেলে,38
সহকারী,38
সাংবিধানিক,38
পাশে,38
বাড়ি,38
মাহমুদ,38
দ্বিতীয়,38
তৎকালীন,38
যেন,37
জমা,37
জারি,37
পরিমাণ,37
প্রাথমিক,37
বাজারে,37
থাকলেও,37
ধারণা,37
আর্থিক,37
জনের,37
বেড়ে,37
এত,37
গুরুতর,37
ঢাকায়,37
মাসের,37
করবেন,37
অ্যাটর্নি,37
মারা,37
চিকিৎসক,37
গুলি,37
ব্যবস্থাপনা,37
আহত,37
কিংবা,36
যখন,36
নিজেদের,36
শনিবার,36
কাজের,36
অত্যন্ত,36
চারটি,36
উৎস,36
নিজস্ব,36
মার্কিন,36
নির্দিষ্ট,36
অন্তর্বর্তী,36
যোগাযোগমাধ্যমে,36
বের,36
কার্যালয়ে,36
বই,36
বাজার,36
ভিডিওটির,36
বন্যার,36
নির্মাণ,36
অভিজ্ঞতা,36
ওবায়দুল,36
মাহবুব,36
বাসায়,36
বদলি,36
অন্যতম,35
আসার,35
পদক্ষেপ,35
প্রতিটি,35
পথে,35
উপাচার্য,35
দেড়,35
জায়গায়,35
মধ্য,35
শহীদ,35
সাংবাদিকদের,35
অন্যদিকে,35
ট্রাইব্যুনাল,35
অভ্যুত্থানের,35
শিকার,35
সৈয়দ,35
কেনার,35
কার্গো,35
মিলিয়ে,34
এখানে,34
স্ত্রী,34
সহযোগিতা,34
আহমদ,34
পরিচালনা,34
বাতিল,34
সংগ্রহ,34
নির্ধারণ,34
উচিত,34
বরং,34
মানুষকে,34
ইলিশের,34
তুলনায়,34
যাচাই,34
অর্থনৈতিক,34
সম্পর্ক,34
আসামির,34
বয়সী,34
নিয়েছে,34
ইসলামের,34
বিশ্বের,34
সম্পত্তি,34
রিক্রুটিং,34
উঠে,33
বাড়ানো,33
মহানগর,33
সমাধান,33
জুন,33
যেখানে,33
বেশ,33
জানুয়ারি,33
হাসপাতাল,33
কেন্দ্র,33
পড়া,33
সাম্প্রতিক,33
সড়কের,33
তালিকা,33
সৌদি,33
রিট,33
এজেন্সি,33
গ্রেডের,32
পরিবহন,32
নিষিদ্ধ,32
যার,32
দলের,32
ব্যক্তির,32
বিএনপি,32
চট্টগ্রাম,32
পরিবার,32
হামলা,32
